"Methods","NumSubm","RevTimeDays","Withhold","NumGroups","Unfair","UnfairRej","UnfairAcc","MAPE","AccRateHiPr","AccRateLoPr"
"DB+AuthLimit3Best",502.9,157.7,6.8,87.3,3.5,1.8,1.8,11.4,20.6,18.3
"DB+AuthLimit3Rnd",503.0,157.6,6.8,87.9,3.7,1.9,1.9,12.0,20.6,18.3
"DoubleBlind",503.1,157.7,0.0,87.1,3.8,1.9,1.9,11.5,20.6,18.3
"AuthLimit2Best",503.5,158.3,58.9,89.0,3.8,1.9,1.9,15.3,21.3,17.9
"AuthLimit3Best",503.0,157.8,6.8,87.3,4.1,2.1,2.1,16.4,20.7,18.2
"NoAuthLimit",503.2,157.7,0.0,87.1,4.3,2.2,2.2,16.0,20.6,18.2
"AuthLimit3Rnd",503.3,157.8,6.8,87.9,4.3,2.2,2.2,16.7,20.6,18.2
"AuthLimit2Rnd",503.1,157.3,58.9,90.9,4.3,2.2,2.2,16.2,20.7,18.3
