"Methods","NumSubm","RevTimeDays","Withhold","NumGroups","Unfair","UnfairRej","UnfairAcc","MAPE","AccRateHiPr","AccRateLoPr"
"AuthLimit2Best",442.9,139.1,51.6,78.2,2.2,1.1,1.1,8.3,21.2,18.0
"DB+AuthLimit3Best",493.6,154.8,6.7,85.7,2.9,1.4,1.4,8.6,20.6,18.3
"AuthLimit3Best",493.7,154.9,6.7,85.7,2.9,1.4,1.4,8.6,20.6,18.3
"NoAuthLimit",503.2,157.7,0.0,87.0,3.1,1.6,1.6,8.7,20.6,18.3
"DoubleBlind",503.2,157.7,0.0,87.0,3.1,1.6,1.6,8.7,20.6,18.3
"DB+AuthLimit3Rnd",493.2,154.6,6.7,86.2,3.1,1.5,1.5,8.7,20.5,18.3
"AuthLimit3Rnd",493.7,154.7,6.7,86.2,3.1,1.6,1.6,8.7,20.6,18.3
"AuthLimit2Rnd",441.8,138.2,51.6,79.8,3.2,1.6,1.6,8.8,20.7,18.3
