"Methods","NumSubm","RevTimeDays","Withhold","NumGroups","Unfair","UnfairRej","UnfairAcc","MAPE","AccRateHiPr","AccRateLoPr"
"DB+AuthLimit3Best",503.5,164.2,6.8,87.7,3.6,1.8,1.8,6.9,19.4,19.1
"DoubleBlind",503.5,164.2,0.0,87.5,3.8,1.9,1.9,6.9,19.2,19.3
"DB+AuthLimit3Rnd",502.7,163.9,6.8,88.1,3.9,1.9,1.9,6.9,19.3,19.2
"AuthLimit3Best",502.4,163.7,6.8,87.5,4.5,2.3,2.3,8.6,19.4,19.2
"NoAuthLimit",503.3,164.1,0.0,87.4,4.6,2.3,2.3,8.6,19.2,19.3
"AuthLimit3Rnd",503.6,164.2,6.8,88.2,4.6,2.3,2.3,8.7,19.2,19.3
"AuthLimit2Best",503.4,164.0,58.9,89.1,4.7,2.4,2.4,8.3,20.4,18.5
"AuthLimit2Rnd",503.9,164.3,58.9,91.2,4.7,2.3,2.3,8.7,19.3,19.2
