"Methods","NumSubm","RevTimeDays","Withhold","NumGroups","Unfair","UnfairRej","UnfairAcc","MAPE","AccRateHiPr","AccRateLoPr"
"DB+AuthLimit3Best",503.3,164.1,6.8,87.6,3.7,1.8,1.8,6.9,19.4,19.1
"DB+AuthLimit3Rnd",502.9,163.9,6.8,88.1,3.8,1.9,1.9,6.9,19.2,19.3
"DoubleBlind",503.0,164.0,0.0,87.4,3.9,1.9,1.9,6.9,19.2,19.3
"AuthLimit3Best",503.4,164.1,6.8,87.7,4.5,2.3,2.3,8.6,19.4,19.1
"NoAuthLimit",503.2,164.0,0.0,87.4,4.6,2.3,2.3,8.6,19.3,19.2
"AuthLimit3Rnd",503.3,164.1,6.8,88.2,4.6,2.3,2.3,8.7,19.3,19.2
"AuthLimit2Rnd",503.4,164.1,58.9,91.1,4.6,2.3,2.3,8.6,19.2,19.3
"AuthLimit2Best",502.8,163.8,58.8,89.0,4.7,2.4,2.4,8.3,20.5,18.5
