"Methods","NumSubm","RevTimeDays","Withhold","NumGroups","Unfair","UnfairRej","UnfairAcc","MAPE","AccRateHiPr","AccRateLoPr"
"AuthLimit2Best",442.3,139.0,51.7,78.1,2.2,1.1,1.1,8.3,21.2,18.0
"DB+AuthLimit3Best",494.0,154.9,6.7,85.7,2.9,1.4,1.4,8.6,20.6,18.3
"AuthLimit3Best",494.1,155.0,6.7,85.8,2.9,1.4,1.4,8.6,20.7,18.2
"NoAuthLimit",503.1,157.7,0.0,87.1,3.1,1.6,1.6,8.7,20.6,18.3
"DoubleBlind",503.1,157.7,0.0,87.1,3.1,1.6,1.6,8.7,20.6,18.3
"AuthLimit3Rnd",493.7,154.7,6.7,86.2,3.1,1.6,1.6,8.7,20.6,18.3
"DB+AuthLimit3Rnd",493.9,154.8,6.7,86.3,3.1,1.6,1.6,8.7,20.6,18.3
"AuthLimit2Rnd",442.3,138.4,51.7,79.9,3.2,1.6,1.6,8.8,20.7,18.3
